,BS_Accounts_Payable,BS_Accounts_Receivable,BS_Additional_Paid_In_Capital,BS_Allowance_For_Doubtful_Accounts_Receivable,BS_Buildings_And_Improvements,BS_Capital_Lease_Obligations,BS_Cash_Cash_Equivalents_And_Short_Term_Investments,BS_Cash_Equivalents,BS_Cash_Financial,BS_Common_Stock,BS_Construction_In_Progress,BS_Current_Assets,BS_Current_Debt_And_Capital_Lease_Obligation,BS_Current_Liabilities,BS_Finished_Goods,BS_Goodwill_And_Other_Intangible_Assets,BS_Gross_PPE,BS_Inventory,BS_Land_And_Improvements,BS_Long_Term_Equity_Investment,BS_Machinery_Furniture_Equipment,BS_Minority_Interest,BS_Net_Debt,BS_Non_Current_Deferred_Taxes_Assets,BS_Non_Current_Deferred_Taxes_Liabilities,BS_Non_Current_Pension_And_Other_Postretirement_Benefit_Plans,BS_Non_Current_Prepaid_Assets,BS_Other_Equity_Interest,BS_Other_Intangible_Assets,BS_Other_Inventories,BS_Other_Non_Current_Assets,BS_Other_Payable,BS_Other_Properties,BS_Other_Receivables,BS_Other_Short_Term_Investments,BS_Payables,BS_Pensionand_Other_Post_Retirement_Benefit_Plans_Current,BS_Prepaid_Assets,BS_Properties,BS_Raw_Materials,BS_Retained_Earnings,BS_Share_Issued,BS_Tangible_Book_Value,BS_Total_Assets,BS_Total_Equity_Gross_Minority_Interest,BS_Total_Non_Current_Assets,BS_Total_Non_Current_Liabilities_Net_Minority_Interest,BS_Total_Tax_Payable,BS_Working_Capital,CF_Capital_Expenditure,CF_Capital_Expenditure_Reported,CF_Cash_Flowsfromusedin_Operating_Activities_Direct,CF_Changes_In_Cash,CF_Classesof_Cash_Payments,CF_Common_Stock_Dividend_Paid,CF_Dividends_Received_Cfi,CF_Dividends_Received_Direct,CF_Effect_Of_Exchange_Rate_Changes,CF_Financing_Cash_Flow,CF_Interest_Paid_Cff,CF_Interest_Paid_Direct,CF_Interest_Received_Cfi,CF_Interest_Received_Direct,CF_Investing_Cash_Flow,CF_Issuance_Of_Capital_Stock,CF_Issuance_Of_Debt,CF_Long_Term_Debt_Issuance,CF_Net_Business_Purchase_And_Sale,CF_Net_Common_Stock_Issuance,CF_Net_Investment_Properties_Purchase_And_Sale,CF_Net_Investment_Purchase_And_Sale,CF_Net_Issuance_Payments_Of_Debt,CF_Net_Other_Financing_Charges,CF_Net_Other_Investing_Changes,CF_Net_Short_Term_Debt_Issuance,CF_Operating_Cash_Flow,CF_Other_Cash_Adjustment_Outside_Changein_Cash,CF_Other_Cash_Paymentsfrom_Operating_Activities,CF_Other_Cash_Receiptsfrom_Operating_Activities,CF_Paymentson_Behalfof_Employees,CF_Purchase_Of_Business,CF_Purchase_Of_Intangibles,CF_Purchase_Of_Investment,CF_Purchase_Of_PPE,CF_Receiptsfrom_Customers,CF_Repayment_Of_Debt,CF_Repurchase_Of_Capital_Stock,CF_Sale_Of_Business,CF_Sale_Of_Intangibles,CF_Sale_Of_Investment_Properties,CF_Sale_Of_PPE,CF_Short_Term_Debt_Issuance,CF_Short_Term_Debt_Payments,CF_Taxes_Refund_Paid_Direct,CR_2023,CR_2024,CYC_2023,CYC_2024,Customer_Acquisition_Age_in_Year,IS_Basic_EPS,IS_EBIT,IS_General_And_Administrative_Expense,IS_Gross_Profit,IS_Interest_Expense,IS_Interest_Expense_Non_Operating,IS_Interest_Income_Non_Operating,IS_Minority_Interests,IS_Net_Income,IS_Net_Interest_Income,IS_Net_Non_Operating_Interest_Income_Expense,IS_Other_Non_Operating_Income_Expenses,IS_Other_Operating_Expenses,IS_Other_Special_Charges,IS_Otherunder_Preferred_Stock_Dividend,IS_Reconciled_Depreciation,IS_Rent_And_Landing_Fees,IS_Rent_Expense_Supplemental,IS_Selling_And_Marketing_Expense,IS_Selling_General_And_Administration,IS_Tax_Effect_Of_Unusual_Items,IS_Tax_Rate_For_Calcs,IS_Total_Operating_Income_As_Reported,IS_Total_Other_Finance_Cost,IS_Total_Unusual_Items_Excluding_Goodwill,IS_Write_Off,Revenue_2023,Revenue_2024,SandP52WeekChange,currentRatio,debtToEquity,earningsGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,freeCashflow,fullTimeEmployees,grossMargins,grossProfits,hasRiskOfficer,industryKey,lastDividendDate,lastFiscalYearEnd,marketCap,maxAge,mostRecentQuarter,operatingCashflow,operatingMargins,priceHint,profitMargins,quickRatio,regularMarketChangePercent,regularMarketPreviousClose,regularMarketTime,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,sectorKey,totalCash,totalCashPerShare,totalDebt,totalRevenue
125,198974000000.0,,609459000000.0,,528508000000.0,,1614126000000.0,711352000000.0,902774000000.0,399178000000.0,1526000000.0,23960101000000.0,7221727000000.0,8050399000000.0,,199409000000.0,1559854000000.0,,207193000000.0,,707449000000.0,562000000.0,12144322000000.0,152259000000.0,,351035000000.0,,,199409000000.0,,1520000000.0,137720000000.0,115178000000.0,22305314000000.0,,511958000000.0,,20139000000.0,0.0,,9270860000000.0,15967115620.0,9981694000000.0,25119820000000.0,10181665000000.0,1159719000000.0,6887756000000.0,173291000000.0,15909702000000.0,-145471000000.0,-25376372020,489540000000.0,-125533000000.0,-24857405000000.0,-827166000000.0,7671008151.0,324228464000.0,1380882000.0,-509833000000.0,-20220555789.5,-986943000000.0,15774227000.0,55459000000.0,-105240000000.0,0.0,10864849000000.0,10864849000000.0,-880653000000.0,0.0,-3590500000.0,0.0,317333000000.0,-9884218000.0,-5470556.0,0.0,-28828408356,-1.0,-2228661000000.0,245843000000.0,-391368000000.0,-880653000000.0,-23253000000.0,-283093000000.0,-122218000000.0,26352781000000.0,-10547516000000.0,-8608855906.5,638308.0,1000000000,27300000.0,40231000000.0,233336394357.5,-205954159119.5,-320195000000.0,0.9597930523630707,1.0,0.9827785835991965,1.0,7.0,,2162476000000.0,449562000000.0,3946303000000.0,235862000000.0,235862000000.0,,137000000.0,1564811000000.0,-244019000000.0,-244019000000.0,19450000000.0,978791000000.0,-8318000000.0,0.0,215365000000.0,1993000000.0,1993000000.0,78275000000.0,527837000000.0,-655642801.308409,0.187863,,8157000000.0,-3490000000.0,11808000000.0,2854568533.653303,5822085765.06477,0.12792087,2.993,130.11,0.122,,0.0,,5.652,24687031615488.0,,5781.0,0.96832,4229077925888.0,0,credit-services,1747785600.0,1735603200.0,11730732187648.0,86400.0,1743379200.0,455614005248.0,0.45741,2.0,0.36837003,2.954,-0.6369427,785.0,1751618865.0,0.06454,0.15703,0.063,290.402,financial-services,1450174971904.0,96.425,13879570595840.0,4367460073472.0
856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-58832391660.0,-25376372020,204355462923.0,-70505524354.0,-1060289316176.0,-237780425000.0,8070000000.0,324228464000.0,-457500000.0,-99788000000.0,-12045000000.0,-19337297661.0,6401500000.0,19201447696.0,-522586683371.5,385365500000.0,287669728569.0,287669728569.0,-158949500000.0,385365500000.0,-3590500000.0,-492982750000.0,-88869881919.5,1974000000.0,-127000000.0,2269693000000.0,192271500000,-2094499999.5,-30867489184.0,2777925000000.0,-111876000000.0,-342987000000.0,-1125869459.0,-242740953168.0,-58832391660.0,1300846112543.5,-190101385145.5,-8608855906.5,0.0,19829575665,27300000.0,4079000000.0,4588886000000.0,-49500000000.0,-24298554759.0,0.0,0.0,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,130419309.0,127963219.0,0.12792087,25.414,,-0.753,1900771456.0,0.02148,268.289,5.764,509956685824.0,-23086221312.0,30.0,0.18433,16309321728.0,0,entertainment,,1735603200.0,576631537664.0,86400.0,1743379200.0,-122669916160.0,0.12024,2.0,0.0044,19.42,1.6806724,119.0,1751619959.0,0.0023100001,0.00093000004,-0.778,18.551,communication-services,100030513152.0,20.99,0.0,88478531584.0
519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-90145098016.5,-25376372020,98127911645.0,-47370594734.0,-1613187497476.5,-62338247092.0,0.0,324228464000.0,155000000.0,-63533335340.5,-6799396218.0,-23133761077.0,15774227000.0,11871558656.5,-88363856284.5,33609250.0,31816945126.0,19300000000.0,-1223416.0,47107.0,-3590500000.0,-156877109.0,21878520892.5,-19240196313.5,-5470556.0,737516945126.0,192271500000,-1.0,-371896760205.0,20051587374.0,-546839274274.5,-5624500000.0,-1445558750.0,-3398723627.0,-89422318641.5,1725900161508.0,-9872954618.0,-8608855906.5,638308.0,1000000000,27300000.0,745329592.5,25033890252.0,-205954159119.5,-34525491587.5,0.8796539889304503,0.983753046303818,0.9450837874780613,0.9836199836199836,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,230714933.0527013,206235015.35638,0.12792087,0.632,48.987,,29264152576.0,0.07034,9.022,0.635,264032993280.0,-7387021824.0,313.0,0.40085,166776537088.0,0,household-personal-products,1340841600.0,1735603200.0,93089996800.0,86400.0,1743379200.0,-876442688.0,-0.0106,2.0,-0.019450001,0.232,3.5714285,84.0,1751619780.0,0.01605,-0.022230001,-0.146,388.839,consumer-defensive,4018686208.0,3.756,177090248704.0,416057491456.0
915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27878152576.0,-25376372020,48954943510.5,2683130.0,-1241039390000.0,-72025000000.0,7671008151.0,324228464000.0,277334000.0,-4881342152.0,-20220555789.5,-19333839517.0,15774227000.0,4126723070.5,-34650308675.0,33609250.0,311765721272.0,105000000000.0,-1223416.0,47107.0,-3590500000.0,-5239250.5,0.0,8477980.0,-5470556.0,0.0,192271500000,-1.0,-84931203963.5,11008458666.5,-137502344126.0,-5624500000.0,-1838571319.0,-33672694000.0,-27878152576.0,1112853000000.0,-148655251000.0,-8608855906.5,638308.0,1000000000,27300000.0,1102715159.0,233336394357.5,-205954159119.5,-18037578390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,8999999488.0,,,,,2.0,,,0.0,60.0,1721764800.0,,,,,,,,,
852,3983297000000.0,1880942000000.0,96000000000.0,-174212000000.0,3667053000000.0,530632000000.0,671180000000.0,47790000000.0,623390000000.0,76300000000.0,727586000000.0,5280548000000.0,1487790000000.0,11830201000000.0,1441403000000.0,399273000000.0,16704787000000.0,2505852000000.0,277326000000.0,,11947058000000.0,,778820000000.0,,108972000000.0,1464913000000.0,,,337348000000.0,,75193000000.0,1987017000000.0,85764000000.0,184018000000.0,,6374757000000.0,171362000000.0,38556000000.0,0.0,948958000000.0,1961707000000.0,38150000000.0,1749994000000.0,16046195000000.0,2149267000000.0,10765647000000.0,2066727000000.0,228738000000.0,-6549653000000.0,-1072728000000.0,-25376372020,3959982000000.0,-349573000000.0,-33457998000000.0,-4497438000000.0,0.0,324228464000.0,155000000.0,-3294681000000.0,-6799396218.0,-43600000000.0,15774227000.0,18476000000.0,-1014874000000.0,33609250.0,31816945126.0,19300000000.0,-1223416.0,47107.0,-3590500000.0,-156877109.0,1450000000000.0,-19240196313.5,-5470556.0,1450000000000.0,192271500000,-1.0,-2425192000000.0,20051587374.0,-2485465000000.0,-5624500000.0,-1445558750.0,-3398723627.0,-1072728000000.0,39159720000000.0,-9872954618.0,-8608855906.5,638308.0,1000000000,27300000.0,57854000000.0,25033890252.0,-205954159119.5,-1716616000000.0,0.985060496047258,0.8126791655727982,1.015182212683519,0.9105263157894737,7.0,88.0,4433356000000.0,3234941000000.0,16719681000000.0,82932000000.0,82932000000.0,18476000000.0,,3368693000000.0,-64456000000.0,-64456000000.0,,20085000000.0,,0.0,325160000000.0,76502000000.0,76502000000.0,6854616000000.0,10089557000000.0,0.0,0.225663,4414880000000.0,,,,3831755720.204526,3309478490.761868,0.12792087,0.552,42.172,-0.146,4868734976000.0,0.14102,11.433,1.612,55662524497920.0,4120154472448.0,4081.0,0.47055998,16245625716736.0,0,household-personal-products,1750032000.0,1735603200.0,58941752999936.0,86400.0,1743379200.0,5245158031360.0,0.17128,2.0,0.091450006,0.304,-3.1347964,1595.0,1751620449.0,0.14387,0.76777,-0.061,904.957,consumer-defensive,1080574017536.0,28.324,1425598054400.0,34524104753152.0
496,1150000000.0,1373000000.0,1213570000000.0,,768000000.0,,1132835000000.0,365159000000.0,20216000000.0,1519201000000.0,,1136487000000.0,,14182000000.0,,,12426000000.0,,1117000000.0,1400000000.0,10541000000.0,,,723000000.0,,2078000000.0,,-244668000000.0,,,,,,,747460000000.0,1178000000.0,1209000000.0,2279000000.0,0.0,,-736177000000.0,1170432803.0,1751926000000.0,1768186000000.0,1751926000000.0,631699000000.0,2078000000.0,28000000.0,1122305000000.0,-52000000.0,-25376372020,-76837000000.0,231801000000.0,-84482000000.0,-296737121769.0,3363000000.0,324228464000.0,2573000000.0,0.0,-62672426506.0,-82399647048.5,31068344658.5,12720000000.0,308638000000.0,0.0,501508377317.0,17413881000.0,-31015000.0,0.0,-34988000000.0,340315000000.0,-2713985000.0,1901072818.0,-667542885.0,21509677127.0,192271500000,2920000000.0,-14730322455.0,4272585758.0,-10377000000.0,-62030000.0,-3988487100.0,-14126000000.0,-52000000.0,23544000000.0,-94899825000.0,-8608855906.5,0.0,1000000000,0.0,0.0,479706000000.0,-393525000000.0,-28619000000.0,0.6476426073305249,0.7174089068825911,0.8729349548536965,0.723996723996724,7.0,34.84,-34943000000.0,23475000000.0,1525000000.0,,,12720000000.0,0.0,40776000000.0,12720000000.0,12720000000.0,,1577000000.0,,0.0,19000000.0,708000000.0,19794000000.0,,23475000000.0,1659908079.556875,0.047,,,35317000000.0,,4295278304.227425,4039770303.95501,0.12792087,128.052,,-0.613,-33696999424.0,-1.6865401,12.277,-20.706,-413707403264.0,-17725874176.0,9.0,0.07518,1502000000.0,0,real-estate-services,,1735603200.0,330061250560.0,86400.0,1743379200.0,-52280999936.0,-0.69369006,2.0,-0.00751,127.66,1.438849,278.0,1751619603.0,-0.011419999,-8.0000005e-05,-0.123,17.071,real-estate,734405984256.0,627.465,0.0,19979999232.0
392,5801576000000.0,9283543000000.0,283732000000.0,-191837000000.0,18183598000000.0,217064000000.0,48224984000000.0,6805993000000.0,31904063000000.0,878043000000.0,1619189000000.0,79765476000000.0,21652628000000.0,37094061000000.0,6066994000000.0,67881577000000.0,80033909000000.0,19086016000000.0,,3720116000000.0,42972781000000.0,43877779000000.0,32098284000000.0,726246000000.0,996881000000.0,4724321000000.0,15399000000.0,9373380000000.0,11529491000000.0,2995010000000.0,5620948000000.0,2103664000000.0,17258341000000.0,733754000000.0,9514928000000.0,9799472000000.0,1820001000000.0,2340417000000.0,0.0,9920505000000.0,53396455000000.0,8780426500.0,-2768073000000.0,201713313000000.0,108991283000000.0,121947837000000.0,55627969000000.0,1894232000000.0,42671415000000.0,-5689422000000.0,-272326000000,17507956000000.0,9832784000000.0,-90465722000000.0,-98600000000.0,111099077710.0,324228464000.0,301304000000.0,-680208000000.0,-1234000000.0,-3840151000000.0,71656500000.0,1753911000000.0,-6994964000000.0,1904457391.5,31355966000000.0,1777184000000.0,-38376000000.0,0.0,-2643989861.5,-1425039000000.0,3685430000000.0,377331000000.0,773294255.5,4295425000000.0,192271500000,31733153124.0,-22001700000000.0,217125000000.0,-10404798000000.0,-38376000000.0,-2982000000.0,-1425039000000.0,-5417096000000.0,115014921000000.0,-27670536000000.0,-8608855906.5,0.0,1000000000,27300000.0,157873000000.0,29578782000000.0,-25283357000000.0,-5172128000000.0,0.9821130543900084,0.9791666666666666,0.973208849301322,0.98796992481203,7.0,984.0,20866631000000.0,1301532000000.0,40136529000000.0,3826849000000.0,3826849000000.0,1773991000000.0,-4435884000000.0,8641612000000.0,-2052858000000.0,-2052858000000.0,-268559000000.0,1274453000000.0,-94447000000.0,0.0,720272000000.0,187161000000.0,187161000000.0,9574688000000.0,10876220000000.0,-144358343095.7039,0.232531,23088184000000.0,,-620812000000.0,,11362179458.54095,12144082560.99294,0.12792087,2.204,66.419,0.112,27194535444480.0,0.23333,5.111,1.192,138980813176832.0,5679994634240.0,96670.0,0.34806,40566310043648.0,0,packaged-foods,1751414400.0,1735603200.0,70901974433792.0,86400.0,1743379200.0,17292146507776.0,0.19373,2.0,0.0765,1.623,-0.30864197,8100.0,1751618998.0,0.07211,0.12420999,0.025,13273.843,consumer-defensive,52086674817024.0,5932.135,74776747966464.0,116550002540544.0
272,225709443010.0,78562781925.0,465081634211.0,-1773262271.0,482597167599.0,0.0,2525242591791.0,2286137780598.0,239104811193.0,925000000000.0,94994167.0,6697226908253.0,0.0,1713363508919.0,3357495949015.0,9302932297.0,923503132958.0,3358168471542.0,47347404729.0,607375528340.0,393463566463.0,1452026440550.0,,,,85745806454.0,7988590449.0,19976821094.0,,337510818.0,4486867800.0,,,7032878579.0,,288288644978.0,,487789187642.0,0.0,335011709.0,8976090695450.0,1850000000.0,10406435601458.0,14362397220551.0,11867764974305.0,7665170312298.0,781268737327.0,62579201968.0,4983863399334.0,-14476145719.0,-25376372020,694905070684.0,-350528419961.0,-2618823276376.0,-23234527418.0,10200000000.0,324228464000.0,134710013.0,-967571163782.0,-413757428000.0,-19333839517.0,128565790210.0,7430212127.0,-77862326863.0,1056550.0,92835575000.0,91885090627.0,0.0,528275.0,-239929339180.0,37207316000.0,0.0,73051107000.0,-21733376.5,-6373484.0,192271500000,-1.0,-1475744068001.0,2274710000.0,-260595530956.0,-395021179.0,-10200000.0,0.0,-14476145719.0,3415694234472.0,-127956385123.5,0.0,0.0,1000000000,27300000.0,570051826.0,42462220733.0,-33325219532.0,-101965887412.0,0.0,0.0,0.0,0.0,7.0,460.42,1503102832984.0,180259937603.0,2610282099114.0,126030487673.0,126030487673.0,129600432770.0,-523762194380.0,851769071955.0,3569945097.0,3569945097.0,-9337402851.0,296517645783.0,-570051826.0,0.0,18477615963.0,1318609510.0,181758412511.0,480229660351.0,660489597954.0,637943.886732,0.001119,1358967544305.0,,570051826.0,,276346936.0,394260272.0,0.12792087,3.932,0.051,-0.492,1351908196352.0,0.33221,3.852,1.28,5207391469568.0,-153360564224.0,332.0,0.57794,2351931850752.0,1,real-estate-development,1734048000.0,1735603200.0,6031000207360.0,86400.0,1743379200.0,588175114240.0,0.23238,2.0,0.19015,1.476,-2.686567,3350.0,1751615701.0,0.055960003,0.102790006,-0.396,2199.725,real-estate,2491675312128.0,1346.851,6071325184.0,4069492260864.0
853,373862200708.0,30326857718.0,641300908338.0,-259709377.0,26966746055.0,454774811.0,13601578446.0,,13601578446.0,323212264000.0,,2288778901080.0,492201336490.0,2090282595406.0,1438424517863.0,,35894043149.0,1438424517863.0,,,8927197094.0,968273260631.0,478398421554.0,,,2150360638.0,,-61998083117.0,,,1476693485761.0,337240501947.0,100000.0,678247546150.0,,723489856727.0,,127990220903.0,0.0,,187914191697.0,3232122640.0,1085559430918.0,4146519085914.0,2053832691549.0,1857740184834.0,2403798959.0,12387154072.0,198496305674.0,-155154491.0,-25376372020,-94461790852.0,-319550498.0,-154742525662.0,-23234527418.0,12378000000.0,324228464000.0,2702276.0,-187710172.0,-413757428000.0,-176304372.0,21321897000.0,13037282624.0,94329950526.0,1056550.0,92835575000.0,91885090627.0,0.0,528275.0,-905944721.0,-19812328000.0,0.0,-187710172.0,95391049738.0,-6373484.0,192271500000,-1.0,-118548738520.0,2274710000.0,-48614114755.5,-395021179.0,-10200000.0,-99100000000.0,-155154491.0,51653130295.0,-127956385123.5,0.0,0.0,1000000000,27300000.0,530811000.0,42462220733.0,-33325219532.0,-4233373737.0,0.6014098738396788,0.3998499624906227,0.5970332640598487,0.4,6.6,,7391815564.0,3396009549.0,7326205644.0,73804372.0,73804372.0,13037282624.0,181783174.0,2986747675.0,12963478252.0,12963478252.0,652153910.0,247516190.0,,0.0,2164351197.0,1242298333.0,1242298333.0,1004597695.0,4400607244.0,0.0,0.22,-5645467060.0,,,,2075744139.346999,1968487260.178888,0.12792087,1.11,39.695,-0.785,-3431705600.0,-0.19659,-629.057,123.668,2158738800640.0,32520087552.0,62.0,0.37709,6582401024.0,0,real-estate-development,,1735603200.0,386830401536.0,86400.0,1743379200.0,-116811907072.0,-0.05287,2.0,-0.00116,0.365,-0.8,125.0,1751619602.0,-0.00101,-4.0000003e-05,-0.144,5.406,real-estate,11968739328.0,3.837,815604105216.0,17455880192.0
417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-756383.0,-25376372020,2950380.0,-1584119.0,-168743174.0,-72025000000.0,7671008151.0,324228464000.0,398305.0,-4023004.0,-20220555789.5,-3462359.0,15774227000.0,136980.0,-511495.0,33609250.0,473040645.0,105000000000.0,-1223416.0,47107.0,-3590500000.0,-5239250.5,-3727081.0,8477980.0,-5470556.0,-3727081.0,192271500000,-1.0,-2156376.0,11008458666.5,-5852632.0,-5624500000.0,-1838571319.0,-33672694000.0,-756383.0,175107171.0,-476767726.0,-8608855906.5,638308.0,1000000000,27300000.0,244888.0,473040645.0,-476767726.0,-88238.0,0.9983145853473496,0.9984731757559853,0.9983123170087674,0.9984684990905487,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,366158570.0,389967096.0,0.12792087,26.393,3.283,0.617,4404352000.0,0.12329,11.859,1.462,52231716864.0,117222272.0,39.0,0.16001,5716080640.0,0,metal-fabrication,,1735603200.0,44221100032.0,86400.0,1735603200.0,1853212288.0,0.12484,2.0,0.039839998,0.828,0.0,11.0,1751618999.0,0.008909999,0.00836,-0.329,8.886,industrials,1625373312.0,0.404,5616027648.0,35724255232.0
